FCS File,plate,row,column,Other Sample Source Information,Sample Description,gene_intron_is_from,intron_number,variant,branch_point,induced_protein,from_glycerol_stock,induction,replicate
181.fcs,1,G,8,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,uninduced,b
182.fcs,1,G,9,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,uninduced,c
183.fcs,1,G,10,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,uninduced,a
184.fcs,1,G,11,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,uninduced,b
185.fcs,1,G,12,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,uninduced,c
186.fcs,1,H,1,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,induced,a
187.fcs,1,H,2,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,induced,b
188.fcs,1,H,3,v7v8,RPL7B.Intron1.M1,RPL7B,Intron1,M1,wtBP,Rpl7a,False,induced,c
189.fcs,1,H,4,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,induced,a
190.fcs,1,H,5,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,induced,b
191.fcs,1,H,6,v7v8,RPL7B.Intron1.M1.consensusBP,RPL7B,Intron1,M1,consensusBP,Rpl7a,False,induced,c
192.fcs,1,H,7,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,induced,a
193.fcs,1,H,8,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,induced,b
194.fcs,1,H,9,v7v8,RPL7B.Intron1.M1-C1,RPL7B,Intron1,M1-C1,wtBP,Rpl7a,False,induced,c
195.fcs,1,H,10,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,induced,a
196.fcs,1,H,11,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,induced,b
197.fcs,1,H,12,v7v8,RPL7B.Intron1.M1-C1.consensusBP,RPL7B,Intron1,M1-C1,consensusBP,Rpl7a,False,induced,c
198.fcs,1,A,1,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,a
199.fcs,1,A,2,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,b
200.fcs,1,A,3,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,c
201.fcs,1,A,4,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,d
202.fcs,1,A,5,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,e
203.fcs,1,A,6,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,f
204.fcs,1,A,7,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,g
205.fcs,1,A,8,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,h
206.fcs,1,A,9,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,uninduced,i
207.fcs,1,A,10,v9,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,a
208.fcs,1,A,11,v9,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
209.fcs,1,A,12,v9,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
210.fcs,1,B,1,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,a
211.fcs,1,B,2,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,b
212.fcs,1,B,3,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,c
213.fcs,1,B,4,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,d
214.fcs,1,B,5,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,e
215.fcs,1,B,6,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,f
216.fcs,1,B,7,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,g
217.fcs,1,B,8,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,h
218.fcs,1,B,9,v9,RPL7A.Intron1.v9deletion,RPL7A,Intron1,RPL7A-v9-deletion,wtBP,Rpl7a,False,induced,i
219.fcs,1,B,10,v9,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,a
220.fcs,1,B,11,v9,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
221.fcs,1,B,12,v9,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,True,induced,a
222.fcs,1,A,1,test_rpl7b_creless,RPL7B.Intron1.from-glycerol-stock,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
223.fcs,1,A,2,test_rpl7b_creless,RPL7B.Intron1.S1.from-glycerol-stock,RPL7B,Intron1,S1,wtBP,Rpl7a,True,uninduced,a
224.fcs,1,A,3,test_rpl7b_creless,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,a
225.fcs,1,A,4,test_rpl7b_creless,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,uninduced,a
226.fcs,1,A,5,test_rpl7b_creless,RPL7B.Intron1.Rpl7b-CREless-protein,RPL7B,Intron1,wt,wtBP,Rpl7b,False,uninduced,a
227.fcs,1,A,6,test_rpl7b_creless,RPL7B.Intron1.mCherryOnly,RPL7B,Intron1,wt,wtBP,mCherryOnly,False,uninduced,a
228.fcs,1,A,7,test_rpl7b_creless,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,uninduced,a
229.fcs,1,A,8,test_rpl7b_creless,RPL7B.Intron1.S1.Rpl7b-CREless-protein,RPL7B,Intron1,S1,wtBP,Rpl7b,False,uninduced,a
230.fcs,1,A,9,test_rpl7b_creless,RPL7B.Intron1.S1.mCherryOnly,RPL7B,Intron1,S1,wtBP,mCherryOnly,False,uninduced,a
231.fcs,1,B,1,test_rpl7b_creless,RPL7B.Intron1.from-glycerol-stock,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
232.fcs,1,B,2,test_rpl7b_creless,RPL7B.Intron1.S1.from-glycerol-stock,RPL7B,Intron1,S1,wtBP,Rpl7a,True,induced,a
233.fcs,1,B,3,test_rpl7b_creless,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,a
234.fcs,1,B,4,test_rpl7b_creless,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,induced,a
235.fcs,1,B,5,test_rpl7b_creless,RPL7B.Intron1.Rpl7b-CREless-protein,RPL7B,Intron1,wt,wtBP,Rpl7b,False,induced,a
236.fcs,1,B,6,test_rpl7b_creless,RPL7B.Intron1.mCherryOnly,RPL7B,Intron1,wt,wtBP,mCherryOnly,False,induced,a
237.fcs,1,B,7,test_rpl7b_creless,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,induced,a
238.fcs,1,B,8,test_rpl7b_creless,RPL7B.Intron1.S1.Rpl7b-CREless-protein,RPL7B,Intron1,S1,wtBP,Rpl7b,False,induced,a
239.fcs,1,B,9,test_rpl7b_creless,RPL7B.Intron1.S1.mCherryOnly,RPL7B,Intron1,S1,wtBP,mCherryOnly,False,induced,a
240.fcs,1,C,1,test_rpl7b_creless,RPL7B.Intron1.from-glycerol-stock,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,b
241.fcs,1,C,2,test_rpl7b_creless,RPL7B.Intron1.S1.from-glycerol-stock,RPL7B,Intron1,S1,wtBP,Rpl7a,True,uninduced,b
242.fcs,1,C,3,test_rpl7b_creless,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,b
243.fcs,1,C,4,test_rpl7b_creless,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,uninduced,b
244.fcs,1,C,5,test_rpl7b_creless,RPL7B.Intron1.Rpl7b-CREless-protein,RPL7B,Intron1,wt,wtBP,Rpl7b,False,uninduced,b
245.fcs,1,C,6,test_rpl7b_creless,RPL7B.Intron1.mCherryOnly,RPL7B,Intron1,wt,wtBP,mCherryOnly,False,uninduced,b
246.fcs,1,C,7,test_rpl7b_creless,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,uninduced,b
247.fcs,1,C,8,test_rpl7b_creless,RPL7B.Intron1.S1.Rpl7b-CREless-protein,RPL7B,Intron1,S1,wtBP,Rpl7b,False,uninduced,b
248.fcs,1,C,9,test_rpl7b_creless,RPL7B.Intron1.S1.mCherryOnly,RPL7B,Intron1,S1,wtBP,mCherryOnly,False,uninduced,b
249.fcs,1,D,1,test_rpl7b_creless,RPL7B.Intron1.from-glycerol-stock,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,b
250.fcs,1,D,2,test_rpl7b_creless,RPL7B.Intron1.S1.from-glycerol-stock,RPL7B,Intron1,S1,wtBP,Rpl7a,True,induced,b
251.fcs,1,D,3,test_rpl7b_creless,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,b
252.fcs,1,D,4,test_rpl7b_creless,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,induced,b
253.fcs,1,D,5,test_rpl7b_creless,RPL7B.Intron1.Rpl7b-CREless-protein,RPL7B,Intron1,wt,wtBP,Rpl7b,False,induced,b
254.fcs,1,D,6,test_rpl7b_creless,RPL7B.Intron1.mCherryOnly,RPL7B,Intron1,wt,wtBP,mCherryOnly,False,induced,b
255.fcs,1,D,7,test_rpl7b_creless,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,induced,b
256.fcs,1,D,8,test_rpl7b_creless,RPL7B.Intron1.S1.Rpl7b-CREless-protein,RPL7B,Intron1,S1,wtBP,Rpl7b,False,induced,b
257.fcs,1,D,9,test_rpl7b_creless,RPL7B.Intron1.S1.mCherryOnly,RPL7B,Intron1,S1,wtBP,mCherryOnly,False,induced,b
258.fcs,1,E,1,test_rpl7b_creless,RPL7B.Intron1.from-glycerol-stock,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,c
259.fcs,1,E,2,test_rpl7b_creless,RPL7B.Intron1.S1.from-glycerol-stock,RPL7B,Intron1,S1,wtBP,Rpl7a,True,uninduced,c
260.fcs,1,E,3,test_rpl7b_creless,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,c
261.fcs,1,E,4,test_rpl7b_creless,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,uninduced,c
262.fcs,1,E,5,test_rpl7b_creless,RPL7B.Intron1.Rpl7b-CREless-protein,RPL7B,Intron1,wt,wtBP,Rpl7b,False,uninduced,c
263.fcs,1,E,6,test_rpl7b_creless,RPL7B.Intron1.mCherryOnly,RPL7B,Intron1,wt,wtBP,mCherryOnly,False,uninduced,c
264.fcs,1,E,7,test_rpl7b_creless,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,uninduced,c
265.fcs,1,E,8,test_rpl7b_creless,RPL7B.Intron1.S1.Rpl7b-CREless-protein,RPL7B,Intron1,S1,wtBP,Rpl7b,False,uninduced,c
266.fcs,1,E,9,test_rpl7b_creless,RPL7B.Intron1.S1.mCherryOnly,RPL7B,Intron1,S1,wtBP,mCherryOnly,False,uninduced,c
267.fcs,1,H,1,test_rpl7b_creless,RPL7B.Intron1.from-glycerol-stock,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,c
268.fcs,1,H,2,test_rpl7b_creless,RPL7B.Intron1.S1.from-glycerol-stock,RPL7B,Intron1,S1,wtBP,Rpl7a,True,induced,c
269.fcs,1,H,3,test_rpl7b_creless,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,c
270.fcs,1,H,4,test_rpl7b_creless,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,induced,c
271.fcs,1,H,5,test_rpl7b_creless,RPL7B.Intron1.Rpl7b-CREless-protein,RPL7B,Intron1,wt,wtBP,Rpl7b,False,induced,c
272.fcs,1,H,6,test_rpl7b_creless,RPL7B.Intron1.mCherryOnly,RPL7B,Intron1,wt,wtBP,mCherryOnly,False,induced,c
273.fcs,1,H,7,test_rpl7b_creless,RPL7B.Intron1.S1,RPL7B,Intron1,S1,wtBP,Rpl7a,False,induced,c
274.fcs,1,H,8,test_rpl7b_creless,RPL7B.Intron1.S1.Rpl7b-CREless-protein,RPL7B,Intron1,S1,wtBP,Rpl7b,False,induced,c
275.fcs,1,H,9,test_rpl7b_creless,RPL7B.Intron1.S1.mCherryOnly,RPL7B,Intron1,S1,wtBP,mCherryOnly,False,induced,c
276.fcs,1,A,1,test-introns,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,uninduced,a
277.fcs,1,B,1,test-introns,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,uninduced,b
278.fcs,1,C,1,test-introns,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,uninduced,c
279.fcs,1,D,1,test-introns,RPL7B.Intron2,RPL7B,Intron2,wt,wtBP,Rpl7a,False,uninduced,a
280.fcs,1,E,1,test-introns,RPL7B.Intron2,RPL7B,Intron2,wt,wtBP,Rpl7a,False,uninduced,b
281.fcs,1,F,1,test-introns,RPL7B.Intron2,RPL7B,Intron2,wt,wtBP,Rpl7a,False,uninduced,c
282.fcs,1,G,1,test-introns,RPL7B.BothIntrons,RPL7B,BothIntrons,wt,wtBP,Rpl7a,False,uninduced,a
283.fcs,1,H,1,test-introns,RPL7B.BothIntrons,RPL7B,BothIntrons,wt,wtBP,Rpl7a,False,uninduced,b
284.fcs,1,A,2,test-introns,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,induced,a
285.fcs,1,B,2,test-introns,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,induced,b
286.fcs,1,C,2,test-introns,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,False,induced,c
287.fcs,1,D,2,test-introns,RPL7B.Intron2,RPL7B,Intron2,wt,wtBP,Rpl7a,False,induced,a
288.fcs,1,E,2,test-introns,RPL7B.Intron2,RPL7B,Intron2,wt,wtBP,Rpl7a,False,induced,b
289.fcs,1,F,2,test-introns,RPL7B.Intron2,RPL7B,Intron2,wt,wtBP,Rpl7a,False,induced,c
290.fcs,1,G,2,test-introns,RPL7B.BothIntrons,RPL7B,BothIntrons,wt,wtBP,Rpl7a,False,induced,a
291.fcs,1,H,2,test-introns,RPL7B.BothIntrons,RPL7B,BothIntrons,wt,wtBP,Rpl7a,False,induced,b
292.fcs,1,A,3,test-introns,RPL7B.BothIntrons,RPL7B,BothIntrons,wt,wtBP,Rpl7a,False,uninduced,c
293.fcs,1,H,3,test-introns,no-GFP,NA,NA,NA,NA,NA,True,uninduced,a
294.fcs,1,A,4,test-introns,RPL7B.BothIntrons,RPL7B,BothIntrons,wt,wtBP,Rpl7a,False,induced,c
295.fcs,1,H,4,test-introns,no-GFP,NA,NA,NA,NA,NA,True,induced,a
296.fcs,1,F,1,test-introns-7a,no-GFP,NA,NA,NA,NA,NA,True,uninduced,a
297.fcs,1,F,2,test-introns-7a,no-GFP,NA,NA,NA,NA,NA,True,induced,a
298.fcs,1,G,1,test-introns-7a,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,False,uninduced,a
299.fcs,1,G,2,test-introns-7a,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,False,uninduced,b
300.fcs,1,G,3,test-introns-7a,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,False,uninduced,c
301.fcs,1,H,1,test-introns-7a,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,False,induced,a
302.fcs,1,H,2,test-introns-7a,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,False,induced,b
303.fcs,1,H,3,test-introns-7a,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,False,induced,c
304.fcs,1,A,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,False,uninduced,a
305.fcs,1,B,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,False,uninduced,b
306.fcs,1,C,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,False,uninduced,c
307.fcs,1,D,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1.Rpl7b-CREless-protein,RPL7A,Intron1,wt,wtBP,Rpl7b,False,uninduced,a
308.fcs,1,E,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1.Rpl7b-CREless-protein,RPL7A,Intron1,wt,wtBP,Rpl7b,False,uninduced,b
309.fcs,1,F,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1.Rpl7b-CREless-protein,RPL7A,Intron1,wt,wtBP,Rpl7b,False,uninduced,c
310.fcs,1,G,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2,RPL7A,Intron2,wt,wtBP,Rpl7a,False,uninduced,a
311.fcs,1,H,1,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2,RPL7A,Intron2,wt,wtBP,Rpl7a,False,uninduced,b
312.fcs,1,A,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,False,induced,a
313.fcs,1,B,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,False,induced,b
314.fcs,1,C,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1,RPL7A,Intron1,wt,wtBP,Rpl7a,False,induced,c
315.fcs,1,D,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1.Rpl7b-CREless-protein,RPL7A,Intron1,wt,wtBP,Rpl7b,False,induced,a
316.fcs,1,E,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1.Rpl7b-CREless-protein,RPL7A,Intron1,wt,wtBP,Rpl7b,False,induced,b
317.fcs,1,F,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron1.Rpl7b-CREless-protein,RPL7A,Intron1,wt,wtBP,Rpl7b,False,induced,c
318.fcs,1,G,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2,RPL7A,Intron2,wt,wtBP,Rpl7a,False,induced,a
319.fcs,1,H,2,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2,RPL7A,Intron2,wt,wtBP,Rpl7a,False,induced,b
320.fcs,1,A,3,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2,RPL7A,Intron2,wt,wtBP,Rpl7a,False,uninduced,c
321.fcs,1,B,3,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2.Rpl7b-CREless-protein,RPL7A,Intron2,wt,wtBP,Rpl7b,False,uninduced,a
322.fcs,1,C,3,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2.Rpl7b-CREless-protein,RPL7A,Intron2,wt,wtBP,Rpl7b,False,uninduced,b
323.fcs,1,D,3,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2.Rpl7b-CREless-protein,RPL7A,Intron2,wt,wtBP,Rpl7b,False,uninduced,c
324.fcs,1,E,3,test-7A-introns-with-both-CREless-proteins,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,uninduced,a
325.fcs,1,F,3,test-7A-introns-with-both-CREless-proteins,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,uninduced,a
326.fcs,1,G,3,test-7A-introns-with-both-CREless-proteins,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,True,uninduced,a
327.fcs,1,A,4,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2,RPL7A,Intron2,wt,wtBP,Rpl7a,False,induced,c
328.fcs,1,B,4,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2.Rpl7b-CREless-protein,RPL7A,Intron2,wt,wtBP,Rpl7b,False,induced,a
329.fcs,1,C,4,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2.Rpl7b-CREless-protein,RPL7A,Intron2,wt,wtBP,Rpl7b,False,induced,b
330.fcs,1,D,4,test-7A-introns-with-both-CREless-proteins,RPL7A.Intron2.Rpl7b-CREless-protein,RPL7A,Intron2,wt,wtBP,Rpl7b,False,induced,c
331.fcs,1,E,4,test-7A-introns-with-both-CREless-proteins,no-GFP-with-mCherryOnly,NA,NA,NA,NA,mCherryOnly,True,induced,a
332.fcs,1,F,4,test-7A-introns-with-both-CREless-proteins,RPL7B.Intron1,RPL7B,Intron1,wt,wtBP,Rpl7a,True,induced,a
333.fcs,1,G,4,test-7A-introns-with-both-CREless-proteins,RPL7A.BothIntrons,RPL7A,BothIntrons,wt,wtBP,Rpl7a,True,induced,a
